row,col,name,match,score,type
24,Porta-vozes iFood,Lucas Pittio,lucas pittioni,0.9230769230769231,ambiguous
24,Porta-vozes iFood,i,,,not_found
26,Porta-vozes iFood,a Paula Duarte,ana paula duarte,0.9333333333333333,ambiguous
26,Porta-vozes iFood,A,,,not_found
2,Porta Vozes 99,Pedro Aqui,pedro aquino,0.9090909090909091,ambiguous
2,Porta Vozes 99,o,,,not_found
7,Porta Vozes 99,Pedro Aqui,pedro aquino,0.9090909090909091,ambiguous
7,Porta Vozes 99,o,,,not_found
8,Porta Vozes 99,Pedro Aqui,pedro aquino,0.9090909090909091,ambiguous
8,Porta Vozes 99,o,,,not_found
